Lema	POS	rARF_Janes	rARF_Gos	rARF_Kres	rARF_Šolar	rARF_Povprečno	
vrednota	s	0,00231	0,00097	0,00267	0,00738	0,00333	
celota	s	0,00292	0,00213	0,00613	0,00215	0,00333	
zmoči	g	0,00414	0,00252	0,00371	0,00295	0,00333	
prednost	s	0,00352	0,00223	0,00547	0,00209	0,00333	
sprva	r	0,00079	0,00019	0,00322	0,00911	0,00333	
vztrajati	g	0,00261	0,00184	0,00338	0,00548	0,00333	
reševati	g	0,00391	0,00252	0,00269	0,00418	0,00333	
ustvarjati	g	0,00296	0,00145	0,00427	0,00462	0,00333	
osebnost	s	0,0016	0,00077	0,00297	0,00794	0,00332	
zanimivo	r	0,0017	0,00842	0,00217	0,00098	0,00332	
stopnja	s	0,00304	0,00145	0,00753	0,00123	0,00331	
voden	p	0,00192	0,00087	0,0043	0,00615	0,00331	
nastop	s	0,00313	0,00232	0,00539	0,0024	0,00331	
prijeten	p	0,00321	0,00203	0,0051	0,00289	0,00331	
reč	s	0,00135	0,00687	0,00298	0,00203	0,00331	
ustrezen	p	0,00237	0,00165	0,00809	0,00111	0,00331	
letnik	s	0,00284	0,00271	0,00298	0,00468	0,00330	
doba	s	0,00372	0,00184	0,00512	0,00252	0,00330	
opozoriti	g	0,0028	0,00223	0,00571	0,00246	0,00330	
nevaren	p	0,00439	0,00136	0,00535	0,00209	0,00330	
izkoristiti	g	0,00317	0,00223	0,00402	0,00375	0,00329	
prisoten	p	0,00256	0,00145	0,00295	0,00621	0,00329	
sošolec	s	0,00077	0,00174	0,00093	0,00972	0,00329	
politik	s	0,00694	0,00174	0,00292	0,00154	0,00329	
svetovati	g	0,00386	0,00194	0,00364	0,00369	0,00328	
deklica	s	0,00159	0,00087	0,00304	0,00763	0,00328	
ločiti	g	0,00273	0,00145	0,00278	0,00615	0,00328	
reka	s	0,00158	0,00165	0,00459	0,00529	0,00328	
nadaljevanje	s	0,00242	0,00319	0,00534	0,00215	0,00328	
nor	p	0,00665	0,00184	0,00224	0,00234	0,00327	
profesor	s	0,00214	0,00397	0,00305	0,00388	0,00326	
zahteva	s	0,00271	0,00106	0,00785	0,00142	0,00326	
uspešno	r	0,00318	0,00097	0,00488	0,004	0,00326	
slučajno	r	0,00563	0,00523	0,00104	0,00111	0,00325	
strokovnjak	s	0,00407	0,00194	0,00674	0,00025	0,00325	
zopet	r	0,00346	0,00223	0,00168	0,0056	0,00324	
razviti	g	0,00192	0,00126	0,00517	0,00462	0,00324	
preprečiti	g	0,00288	0,00087	0,00442	0,0048	0,00324	
ples	s	0,00134	0,00116	0,00336	0,00708	0,00324	
braniti	g	0,00377	0,00126	0,00242	0,00548	0,00323	
vodstvo	s	0,00303	0,00155	0,00508	0,00326	0,00323	
oprema	s	0,00354	0,00155	0,0066	0,00123	0,00323	
usta	s	0,00383	0,00174	0,00458	0,00277	0,00323	
nekdanji	p	0,00285	0,00097	0,00846	0,00062	0,00323	
bolan	p	0,00322	0,00194	0,00224	0,00548	0,00322	
določiti	g	0,0019	0,00252	0,00593	0,00252	0,00322	
dobivati	g	0,00304	0,003	0,00283	0,004	0,00322	
postavljati	g	0,00306	0,00194	0,00374	0,00412	0,00322	
povečati	g	0,00303	0,00155	0,00634	0,00191	0,00321	
pojasniti	g	0,00314	0,00165	0,00631	0,00172	0,00321	
lepota	s	0,00219	0,00048	0,00336	0,00677	0,00320	
komisija	s	0,00318	0,00116	0,00679	0,00166	0,00320	
prijaviti	g	0,00424	0,00242	0,00284	0,00326	0,00319	
upreti	g	0,00136	0,00077	0,00177	0,00886	0,00319	
ponoči	r	0,00368	0,00261	0,00321	0,00326	0,00319	
video	s	0,00956	0,00058	0,00206	0,00055	0,00319	
priporočati	g	0,00728	0,00165	0,00273	0,00105	0,00318	
dneven	p	0,00338	0,00203	0,00575	0,00154	0,00318	
vest	s	0,00254	0,00068	0,00228	0,0072	0,00318	
priden	p	0,00319	0,00378	0,00114	0,00455	0,00317	
hotel	s	0,00213	0,00203	0,00498	0,00351	0,00316	
konj	s	0,00363	0,00223	0,00347	0,00332	0,00316	
hladen	p	0,00271	0,00155	0,00413	0,00425	0,00316	
zagotoviti	g	0,00214	0,00145	0,00665	0,0024	0,00316	
sneg	s	0,00493	0,00348	0,00293	0,00123	0,00314	
ponosen	p	0,00377	0,00097	0,0026	0,00523	0,00314	
postajati	g	0,00329	0,00087	0,00457	0,00382	0,00314	
park	s	0,00261	0,00126	0,00403	0,00462	0,00313	
pijača	s	0,00228	0,00213	0,00379	0,00431	0,00313	
miren	p	0,00309	0,00106	0,00359	0,00474	0,00312	
lotiti	g	0,0032	0,00271	0,00519	0,00135	0,00311	
potruditi	g	0,00277	0,0029	0,00198	0,0048	0,00311	
veter	s	0,00366	0,00155	0,00409	0,00314	0,00311	
zavod	s	0,00206	0,00203	0,00581	0,00252	0,00311	
tedaj	r	0,00191	0,00136	0,00557	0,00357	0,00310	
stališče	s	0,00282	0,00261	0,00421	0,00277	0,00310	
nastopiti	g	0,00207	0,00165	0,00544	0,0032	0,00309	
kosilo	s	0,00356	0,0031	0,00287	0,00283	0,00309	
korist	s	0,00308	0,00077	0,00356	0,00492	0,00308	
grd	p	0,00343	0,00194	0,00159	0,00535	0,00308	
viden	p	0,00358	0,00087	0,00415	0,00369	0,00307	
prenašati	g	0,00294	0,00194	0,00384	0,00357	0,00307	
vstati	g	0,00251	0,00339	0,00269	0,00369	0,00307	
načelo	s	0,00188	0,00087	0,0043	0,00523	0,00307	
pritisk	s	0,00346	0,00136	0,00407	0,00338	0,00307	
samostojen	p	0,00197	0,00097	0,00451	0,0048	0,00306	
zlasti	l	0,00117	0,00126	0,00914	0,00068	0,00306	
novinar	s	0,00658	0,00126	0,00423	0,00018	0,00306	
izginiti	g	0,00249	0,00058	0,00435	0,0048	0,00306	
zaenkrat	r	0,00538	0,00503	0,00137	0,00043	0,00305	
glasben	p	0,00202	0,00223	0,00604	0,00191	0,00305	
učiteljica	s	0,00084	0,00223	0,00136	0,00775	0,00305	
dež	s	0,00552	0,00271	0,00235	0,0016	0,00305	
pregled	s	0,00416	0,00184	0,00573	0,00043	0,00304	
obiskovati	g	0,00068	0,00087	0,00229	0,00831	0,00304	
razen	v	0,0061	0,00136	0,00246	0,00222	0,00304	
material	s	0,0028	0,00319	0,00513	0,00098	0,00303	
organizirati	g	0,00252	0,00203	0,00452	0,00302	0,00302	
redek	p	0,00337	0,00116	0,00471	0,00283	0,00302	
sončen	p	0,00349	0,00165	0,00446	0,00246	0,00302	
okus	s	0,00434	0,00252	0,00434	0,00086	0,00302	
element	s	0,0016	0,00194	0,00463	0,00388	0,00301	
stena	s	0,00216	0,00223	0,00532	0,00234	0,00301	
izbran	p	0,00244	0,00077	0,00631	0,00252	0,00301	
počitnice	s	0,00231	0,00203	0,0029	0,0048	0,00301	
vedenje	s	0,00089	0,00019	0,00289	0,00806	0,00301	
prizadeti	g	0,00105	0,00087	0,0026	0,00751	0,00301	
sodnik	s	0,0048	0,00116	0,00375	0,00228	0,00300	
posloven	p	0,00283	0,00116	0,00732	0,00068	0,00300	
polje	s	0,00251	0,00145	0,00526	0,00277	0,00300	
odgovornost	s	0,00385	0,00165	0,00452	0,00197	0,00300	
poletje	s	0,00424	0,00165	0,00344	0,00265	0,00300	
skleniti	g	0,00121	0,00068	0,00543	0,00462	0,00299	
pogovoriti	g	0,00085	0,00223	0,00213	0,00671	0,00298	
imenovan	p	0,00158	0,00223	0,00612	0,00197	0,00298	
nekam	r	0,00349	0,00503	0,00159	0,00178	0,00297	
druga	s	0,00041	0,00571	0,00494	0,0008	0,00297	
obljubiti	g	0,00232	0,00155	0,00264	0,00535	0,00297	
vpisati	g	0,00185	0,00194	0,00272	0,00535	0,00297	
poceni	p	0,00565	0,00242	0,00287	0,00092	0,00297	
vaja	s	0,00269	0,00407	0,00383	0,00123	0,00296	
ubog	p	0,00404	0,0031	0,00158	0,00308	0,00295	
normalno	r	0,00324	0,00484	0,00148	0,00222	0,00295	
postaja	s	0,0029	0,00155	0,00524	0,00209	0,00295	
ohraniti	g	0,00186	0,00077	0,00484	0,00431	0,00295	
količina	s	0,00305	0,00116	0,00585	0,00172	0,00295	
odgovoren	p	0,00355	0,00116	0,00513	0,00191	0,00294	
posnetek	s	0,0052	0,00271	0,00347	0,00037	0,00294	
alkohol	s	0,00264	0,00106	0,00294	0,00511	0,00294	
bivši	p	0,00503	0,00213	0,00254	0,00203	0,00293	
rasti	g	0,00326	0,00242	0,00357	0,00246	0,00293	
ponavljati	g	0,00343	0,00281	0,00282	0,00265	0,00293	
pika	s	0,00445	0,00339	0,00226	0,0016	0,00293	
marec	s	0,00288	0,00203	0,00531	0,00148	0,00293	
globoko	r	0,00239	0,00136	0,00499	0,00295	0,00292	
duhovnik	s	0,001	0,00068	0,00157	0,00843	0,00292	
otroški	p	0,00287	0,00165	0,00501	0,00215	0,00292	
urejen	p	0,0025	0,00184	0,00456	0,00277	0,00292	
mimo	d	0,00311	0,00232	0,00352	0,00271	0,00292	
omogočiti	g	0,00209	0,00068	0,00537	0,00351	0,00291	
spodaj	r	0,003	0,00484	0,003	0,0008	0,00291	
sedež	s	0,0028	0,00126	0,00554	0,00203	0,00291	
zbor	s	0,00237	0,00203	0,00575	0,00148	0,00291	
končen	p	0,00321	0,00261	0,00432	0,00148	0,00291	
suh	p	0,00242	0,00232	0,00464	0,00222	0,00290	
generacija	s	0,00353	0,00165	0,00358	0,00283	0,00290	
starost	s	0,00241	0,00097	0,00483	0,00338	0,00290	
revija	s	0,00272	0,00155	0,00626	0,00105	0,00290	
spodnji	p	0,00324	0,00213	0,00553	0,00068	0,00290	
organ	s	0,0026	0,00097	0,00732	0,00068	0,00289	
nastopati	g	0,00155	0,00184	0,00313	0,00505	0,00289	
september	s	0,00305	0,00232	0,00565	0,00055	0,00289	
učinek	s	0,00314	0,00087	0,0062	0,00135	0,00289	
praktično	r	0,00371	0,00455	0,00237	0,00092	0,00289	
april	s	0,00333	0,00203	0,0052	0,00098	0,00289	
oblikovati	g	0,00114	0,00136	0,00547	0,00357	0,00289	
širiti	g	0,00315	0,00136	0,0029	0,00412	0,00288	
državljan	s	0,00524	0,00097	0,00383	0,00148	0,00288	
odnesti	g	0,00284	0,00223	0,00325	0,0032	0,00288	
nacionalen	p	0,00301	0,00252	0,00487	0,00111	0,00288	
tek	s	0,00442	0,00136	0,00314	0,00258	0,00288	
spolen	p	0,00197	0,00039	0,00298	0,00615	0,00287	
poskus	s	0,00319	0,00155	0,0044	0,00234	0,00287	
test	s	0,00403	0,00213	0,00267	0,00265	0,00287	
steči	g	0,00122	0,00184	0,00293	0,00548	0,00287	
nikjer	r	0,0046	0,00271	0,00199	0,00215	0,00286	
promet	s	0,00322	0,00194	0,0058	0,00049	0,00286	
svoboden	p	0,00226	0,00058	0,0024	0,00621	0,00286	
razdeliti	g	0,00122	0,00252	0,00285	0,00486	0,00286	
izraziti	g	0,00175	0,00145	0,00333	0,00492	0,00286	
običajno	r	0,00233	0,00319	0,00469	0,00123	0,00286	
enota	s	0,00243	0,00203	0,00611	0,00086	0,00286	
trd	p	0,00299	0,00155	0,00394	0,00295	0,00286	
posebno	r	0,00167	0,00126	0,00658	0,00191	0,00286	
odziv	s	0,00291	0,00116	0,00286	0,00449	0,00286	
realen	p	0,004	0,00184	0,002	0,00357	0,00285	
podpisati	g	0,00495	0,00242	0,00324	0,0008	0,00285	
povzročati	g	0,00227	0,00106	0,00462	0,00345	0,00285	
središče	s	0,00124	0,00165	0,0056	0,00289	0,00285	
januar	s	0,00267	0,00319	0,00478	0,00074	0,00285	
rojstvo	s	0,00171	0,00058	0,00311	0,00597	0,00284	
potovanje	s	0,00174	0,00155	0,00506	0,00302	0,00284	
dokaj	r	0,00244	0,00155	0,00318	0,00412	0,00282	
rojsten	p	0,00256	0,0029	0,00286	0,00295	0,00282	
funkcija	s	0,00395	0,00145	0,00474	0,00111	0,00281	
kup	s	0,00448	0,00271	0,00281	0,00123	0,00281	
lokalen	p	0,00359	0,00155	0,00571	0,00037	0,00281	
doživljati	g	0,00114	0,00068	0,00213	0,00726	0,00280	
čudovit	p	0,00321	0,00068	0,00404	0,00326	0,00280	
otok	s	0,00248	0,00097	0,00397	0,00375	0,00279	
zapor	s	0,00401	0,00136	0,00277	0,00302	0,00279	
spis	s	0,00069	0,00039	0,00109	0,00898	0,00279	
otroštvo	s	0,00124	0,00048	0,00197	0,00745	0,00279	
kamor	v	0,00217	0,00174	0,00397	0,00326	0,00279	
jeza	s	0,00129	0,00068	0,00182	0,00732	0,00278	
iskanje	s	0,00304	0,00048	0,00468	0,00289	0,00277	
dvorana	s	0,00233	0,00145	0,00571	0,0016	0,00277	
posel	s	0,00358	0,00203	0,00429	0,00117	0,00277	
zmanjšati	g	0,00272	0,00194	0,00479	0,0016	0,00276	
sekunda	s	0,00343	0,00368	0,00308	0,00086	0,00276	
pogrešati	g	0,00385	0,00145	0,00198	0,00375	0,00276	
najraje	r	0,00271	0,00184	0,00285	0,00363	0,00276	
sorodnik	s	0,00115	0,00039	0,00229	0,0072	0,00276	
ukrep	s	0,00281	0,00165	0,00544	0,00111	0,00275	
zgodovinski	p	0,00228	0,00116	0,00357	0,004	0,00275	
opozarjati	g	0,00252	0,00145	0,00414	0,00289	0,00275	
skočiti	g	0,00261	0,00232	0,00236	0,00369	0,00275	
razstava	s	0,00136	0,00048	0,00477	0,00437	0,00275	
skriti	g	0,00276	0,00145	0,0024	0,00437	0,00275	
izhajati	g	0,00171	0,00174	0,00463	0,00289	0,00274	
pojavljati	g	0,00168	0,00165	0,00375	0,00388	0,00274	
kod	r	0,00344	0,00387	0,00198	0,00166	0,00274	
študirati	g	0,00158	0,00416	0,00163	0,00357	0,00274	
mirno	r	0,00268	0,00136	0,00296	0,00394	0,00274	
globok	p	0,00227	0,00068	0,00416	0,00382	0,00273	
sklepati	g	0,00273	0,00126	0,00262	0,00431	0,00273	
junij	s	0,00257	0,00232	0,00559	0,00043	0,00273	
snov	s	0,00108	0,00165	0,00473	0,00345	0,00273	
temen	p	0,0019	0,00126	0,00386	0,00388	0,00273	
francoski	p	0,0022	0,00126	0,00484	0,00258	0,00272	
koncert	s	0,00349	0,00252	0,00395	0,00092	0,00272	
važen	p	0,00517	0,00223	0,00114	0,00234	0,00272	
pobegniti	g	0,00162	0,00048	0,00188	0,00689	0,00272	
zmanjkati	g	0,00445	0,00271	0,00186	0,00185	0,00272	
fizičen	p	0,0019	0,00116	0,00332	0,00449	0,00272	
vstopiti	g	0,0016	0,00087	0,00394	0,00443	0,00271	
porabiti	g	0,00285	0,00329	0,00309	0,0016	0,00271	
prinašati	g	0,00228	0,00116	0,00462	0,00277	0,00271	
polno	r	0,00269	0,00319	0,00248	0,00246	0,00271	
pisanje	s	0,0033	0,00087	0,00325	0,00338	0,00270	
zavrniti	g	0,00214	0,00068	0,00343	0,00455	0,00270	
redno	r	0,00281	0,00213	0,00414	0,00172	0,00270	
učenje	s	0,00128	0,00106	0,0026	0,00585	0,00270	
sposobnost	s	0,00214	0,00077	0,00523	0,00265	0,00270	
zbirati	g	0,00309	0,00223	0,00317	0,00228	0,00269	
bližina	s	0,00218	0,00145	0,00479	0,00234	0,00269	
nadzor	s	0,00289	0,00068	0,00576	0,00142	0,00269	
obnašanje	s	0,00137	0,00058	0,00148	0,00732	0,00269	
uho	s	0,00348	0,00165	0,00364	0,00197	0,00269	
dvanajst	k	0,00032	0,00745	0,00216	0,0008	0,00268	
zabaven	p	0,00312	0,00145	0,0029	0,00326	0,00268	
nos	s	0,00352	0,00165	0,00358	0,00197	0,00268	
rast	s	0,00258	0,00145	0,00503	0,00166	0,00268	
bistveno	r	0,00259	0,00319	0,00376	0,00117	0,00268	
izbirati	g	0,00239	0,00174	0,00326	0,00332	0,00268	
orožje	s	0,00339	0,00087	0,00337	0,00308	0,00268	
izguba	s	0,00246	0,00116	0,00369	0,00338	0,00267	
božji	p	0,00237	0,00106	0,00258	0,00468	0,00267	
bitje	s	0,00198	0,00068	0,00321	0,0048	0,00267	
dandanes	r	0,00095	0,00039	0,0012	0,00812	0,00267	
ovira	s	0,00191	0,00106	0,00294	0,00474	0,00266	
družiti	g	0,00117	0,00116	0,00136	0,00695	0,00266	
seznam	s	0,00443	0,00106	0,00489	0,00025	0,00266	
motor	s	0,00421	0,00106	0,00392	0,00142	0,00265	
kilometer	s	0,00204	0,00378	0,00403	0,00074	0,00265	
končan	p	0,00205	0,00126	0,00315	0,00412	0,00265	
karta	s	0,0039	0,00339	0,00224	0,00105	0,00265	
uprava	s	0,00282	0,00155	0,00589	0,00031	0,00264	
dopust	s	0,00531	0,00232	0,00223	0,00068	0,00264	
okrog	r	0,00226	0,00503	0,0025	0,00074	0,00263	
svež	p	0,00309	0,00145	0,00463	0,00135	0,00263	
december	s	0,00337	0,00136	0,00499	0,0008	0,00263	
zaključek	s	0,00308	0,00174	0,00225	0,00345	0,00263	
živo	r	0,00458	0,00271	0,00212	0,00111	0,00263	
kmetija	s	0,00122	0,00116	0,00235	0,00578	0,00263	
večen	p	0,00304	0,00048	0,00261	0,00437	0,00263	
ravnanje	s	0,00139	0,00019	0,00356	0,00535	0,00262	
babica	s	0,00175	0,00145	0,002	0,00529	0,00262	
vsakdanji	p	0,00102	0,00097	0,00321	0,00529	0,00262	
pogumen	p	0,00114	0,00039	0,00114	0,00781	0,00262	
dogovoriti	g	0,00144	0,00242	0,00287	0,00375	0,00262	
izredno	r	0,00188	0,00213	0,00412	0,00234	0,00262	
reden	p	0,00322	0,00136	0,0055	0,00037	0,00261	
računati	g	0,0034	0,00474	0,00181	0,00049	0,00261	
luknja	s	0,00447	0,0029	0,00221	0,00086	0,00261	
čast	s	0,00361	0,00145	0,0023	0,00308	0,00261	
davek	s	0,00576	0,00068	0,00282	0,00117	0,00261	
presenetiti	g	0,0033	0,00145	0,00308	0,00258	0,00260	
hrbet	s	0,00247	0,00097	0,00393	0,00302	0,00260	
ključen	p	0,00258	0,00184	0,00382	0,00215	0,00260	
popoldne	r	0,00211	0,00387	0,00305	0,00135	0,00260	
zgornji	p	0,00284	0,00232	0,00454	0,00068	0,00260	
pričeti	g	0,00254	0,00058	0,003	0,00425	0,00259	
udeležiti	g	0,00124	0,00068	0,00365	0,0048	0,00259	
nevarnost	s	0,00208	0,00116	0,00509	0,00203	0,00259	
poročati	g	0,00383	0,00155	0,0032	0,00178	0,00259	
zgoraj	r	0,00389	0,00203	0,00358	0,00086	0,00259	
vladati	g	0,00217	0,00068	0,00276	0,00474	0,00259	
fakulteta	s	0,00183	0,00203	0,00427	0,00222	0,00259	
stric	s	0,0027	0,00087	0,00124	0,00554	0,00259	
sredina	s	0,0025	0,00252	0,00365	0,00166	0,00258	
kuhinja	s	0,0024	0,00213	0,00365	0,00215	0,00258	
časopis	s	0,00209	0,00145	0,00433	0,00246	0,00258	
muzej	s	0,00137	0,00039	0,00376	0,0048	0,00258	
vojaški	p	0,00251	0,00116	0,00431	0,00234	0,00258	
izražati	g	0,00099	0,00077	0,00234	0,00621	0,00258	
izpit	s	0,00239	0,00378	0,00241	0,00172	0,00258	
torek	s	0,0027	0,00368	0,00312	0,0008	0,00258	
sklep	s	0,00173	0,00174	0,00601	0,0008	0,00257	
parlament	s	0,00478	0,00136	0,00278	0,00135	0,00257	
umetnost	s	0,00178	0,00126	0,00483	0,0024	0,00257	
izjemno	r	0,00229	0,00194	0,00443	0,0016	0,00257	
prošnja	s	0,00131	0,00068	0,00187	0,0064	0,00257	
reklama	s	0,00486	0,00232	0,00123	0,00185	0,00257	
udariti	g	0,00222	0,00203	0,00225	0,00375	0,00256	
razum	s	0,00186	0,00019	0,0013	0,00689	0,00256	
debel	p	0,00236	0,00213	0,00401	0,00172	0,00256	
mišljenje	s	0,001	0,00019	0,00115	0,00788	0,00256	
vzgoja	s	0,00162	0,00048	0,003	0,00511	0,00255	
solza	s	0,002	0,00077	0,00202	0,00541	0,00255	
raziskava	s	0,00243	0,00145	0,00594	0,00037	0,00255	
tehničen	p	0,00277	0,00213	0,00473	0,00055	0,00255	
leteti	g	0,00437	0,00242	0,00179	0,0016	0,00255	
sodelavec	s	0,00297	0,00213	0,00434	0,00074	0,00255	
italijanski	p	0,00212	0,00155	0,00525	0,00123	0,00254	
mar	r	0,00323	0,00039	0,00259	0,00394	0,00254	
razočaran	p	0,00213	0,00106	0,00172	0,00523	0,00254	
rumen	p	0,00276	0,00271	0,00367	0,00098	0,00253	
angleški	p	0,00234	0,00106	0,00437	0,00234	0,00253	
umakniti	g	0,00265	0,00194	0,00379	0,00172	0,00253	
dvomiti	g	0,0051	0,00097	0,00191	0,00209	0,00252	
gibanje	s	0,0023	0,00097	0,00538	0,00142	0,00252	
oblačilo	s	0,00135	0,00087	0,00439	0,00345	0,00252	
ugotavljati	g	0,0022	0,00232	0,0043	0,00123	0,00251	
pozdraviti	g	0,00249	0,00213	0,0026	0,00283	0,00251	
oprostiti	g	0,00327	0,00271	0,00185	0,00222	0,00251	
ceniti	g	0,00268	0,00077	0,00197	0,00462	0,00251	
nasproten	p	0,00231	0,00048	0,00354	0,00369	0,00251	
pristati	g	0,00241	0,00126	0,00247	0,00388	0,00251	
okoliščina	s	0,0013	0,00058	0,00405	0,00406	0,00250	
tehnika	s	0,00194	0,00155	0,00427	0,00222	0,00250	
vrteti	g	0,00339	0,00165	0,00236	0,00258	0,00250	
hitrost	s	0,00382	0,00165	0,0042	0,00031	0,00250	
nesrečen	p	0,00105	0,00058	0,00175	0,00658	0,00249	
jajce	s	0,00449	0,00194	0,00303	0,00049	0,00249	
poleten	p	0,00276	0,00136	0,00367	0,00215	0,00249	
graditi	g	0,00279	0,00232	0,00311	0,00172	0,00249	
povezati	g	0,0017	0,00232	0,00326	0,00265	0,00248	
splačati	g	0,00463	0,0029	0,00105	0,00135	0,00248	
poudariti	g	0,0011	0,00223	0,00524	0,00135	0,00248	
sanjati	g	0,00394	0,00116	0,0026	0,00222	0,00248	
navodilo	s	0,00329	0,00116	0,0038	0,00166	0,00248	
prepoznati	g	0,00245	0,00068	0,00321	0,00357	0,00248	
pošiljati	g	0,00365	0,00203	0,00244	0,00178	0,00248	
kos	s	0,00293	0,00165	0,00434	0,00098	0,00248	
stol	s	0,00196	0,00232	0,00296	0,00265	0,00247	
dokument	s	0,00283	0,00116	0,00502	0,00086	0,00247	
b	s	0,00477	0,00019	0,00245	0,00246	0,00247	
groziti	g	0,00213	0,00087	0,00206	0,0048	0,00247	
plačilo	s	0,00262	0,00145	0,00418	0,0016	0,00246	
razlaga	s	0,00294	0,00106	0,00308	0,00277	0,00246	
serija	s	0,00371	0,00068	0,00337	0,00209	0,00246	
pozdravljen	p	0,00433	0,00339	0,00065	0,00148	0,00246	
teorija	s	0,00412	0,00145	0,00329	0,00098	0,00246	
telesen	p	0,00106	0,00077	0,00492	0,00308	0,00246	
riba	s	0,00221	0,00174	0,00385	0,00203	0,00246	
občutiti	g	0,00129	0,00039	0,00237	0,00578	0,00246	
olje	s	0,00289	0,00184	0,0046	0,00049	0,00246	
krivda	s	0,00209	0,00077	0,00204	0,00492	0,00246	
prevelik	p	0,00272	0,00106	0,00277	0,00326	0,00245	
dijak	s	0,00091	0,00116	0,00177	0,00597	0,00245	
gospodarstvo	s	0,00351	0,00165	0,00396	0,00068	0,00245	
videz	s	0,00127	0,00048	0,0049	0,00314	0,00245	
dogovor	s	0,00257	0,00136	0,00346	0,0024	0,00245	
zaseben	p	0,00261	0,00126	0,00468	0,00123	0,00245	
pomembno	r	0,00106	0,00368	0,00338	0,00166	0,00245	
drugje	r	0,00364	0,00261	0,00217	0,00135	0,00244	
pošta	s	0,00268	0,00213	0,00441	0,00055	0,00244	
opis	s	0,0023	0,00039	0,00431	0,00277	0,00244	
potovati	g	0,00186	0,00184	0,00317	0,00289	0,00244	
rečen	p	0,00267	0,00261	0,00238	0,00209	0,00244	
obravnavati	g	0,00166	0,00136	0,00421	0,00252	0,00244	
češ	l	0,00216	0,00155	0,00247	0,00357	0,00244	
odrasel	p	0,00167	0,00087	0,004	0,0032	0,00244	
zob	s	0,00305	0,00165	0,00313	0,00191	0,00244	
odvijati	g	0,00091	0,00048	0,00157	0,00677	0,00243	
zadaj	r	0,00311	0,00436	0,00177	0,00049	0,00243	
ekonomski	p	0,0023	0,00097	0,00319	0,00326	0,00243	
nemogoč	p	0,00328	0,00145	0,00283	0,00215	0,00243	
četrtek	s	0,00311	0,00213	0,00354	0,00092	0,00243	
značilnost	s	0,00054	0,00136	0,00324	0,00455	0,00242	
ozadje	s	0,004	0,00155	0,00309	0,00105	0,00242	
nenavaden	p	0,00142	0,00097	0,00464	0,00265	0,00242	
čevelj	s	0,00229	0,00242	0,00287	0,00209	0,00242	
konkreten	p	0,00374	0,00261	0,00295	0,00037	0,00242	
nivo	s	0,00462	0,00223	0,00164	0,00117	0,00242	
običajen	p	0,00193	0,00126	0,00469	0,00178	0,00242	
faza	s	0,00254	0,0029	0,0031	0,00111	0,00241	
spoznanje	s	0,00113	0,00039	0,00264	0,00548	0,00241	
spol	s	0,00221	0,00087	0,00225	0,00431	0,00241	
storitev	s	0,00273	0,00058	0,00546	0,00086	0,00241	
temperatura	s	0,00251	0,00252	0,00386	0,00074	0,00241	
predstavitev	s	0,00237	0,00174	0,00385	0,00166	0,00241	
nuditi	g	0,00175	0,00087	0,00285	0,00412	0,00240	
nameravati	g	0,00157	0,00097	0,00453	0,00252	0,00240	
stroj	s	0,00289	0,00184	0,00349	0,00135	0,00239	
metoda	s	0,00231	0,00126	0,00434	0,00166	0,00239	
navdušen	p	0,00239	0,00155	0,00261	0,00302	0,00239	
tekmovanje	s	0,00191	0,00106	0,00425	0,00234	0,00239	
padati	g	0,00398	0,00213	0,00191	0,00154	0,00239	
oktober	s	0,00254	0,00136	0,0051	0,00055	0,00239	
premisliti	g	0,00215	0,00145	0,0022	0,00375	0,00239	
omejen	p	0,00233	0,00194	0,00366	0,0016	0,00238	
prekiniti	g	0,00162	0,00155	0,00253	0,00382	0,00238	
prireditev	s	0,00146	0,00097	0,00499	0,00209	0,00238	
dolina	s	0,00193	0,00155	0,00399	0,00203	0,00238	
odpovedati	g	0,00249	0,00126	0,00286	0,00289	0,00238	
razumevanje	s	0,00252	0,00077	0,00344	0,00277	0,00238	
temeljiti	g	0,00147	0,00029	0,00355	0,00418	0,00237	
podpis	s	0,00332	0,00106	0,00437	0,00074	0,00237	
zabavati	g	0,00148	0,00097	0,00235	0,00468	0,00237	
vnaprej	r	0,00238	0,00155	0,00265	0,00289	0,00237	
izogniti	g	0,00209	0,00126	0,00378	0,00234	0,00237	
oblikovanje	s	0,00085	0,00039	0,00429	0,00394	0,00237	
razvijati	g	0,00146	0,00145	0,0037	0,00283	0,00236	
meso	s	0,00249	0,00155	0,00411	0,00129	0,00236	
dan	p	0,00186	0,00126	0,00207	0,00425	0,00236	
vzorec	s	0,00228	0,00126	0,00479	0,00111	0,00236	
sprejet	p	0,00121	0,00136	0,00373	0,00314	0,00236	
pričakovanje	s	0,00229	0,00048	0,00359	0,00308	0,00236	
vsakdo	z	0,00182	0,00068	0,00336	0,00357	0,00236	
prihod	s	0,00202	0,00058	0,00344	0,00338	0,00236	
napasti	g	0,00216	0,00087	0,00207	0,00431	0,00235	
začutiti	g	0,0009	0,00058	0,00306	0,00486	0,00235	
omenjati	g	0,00417	0,00136	0,00258	0,00129	0,00235	
aktiven	p	0,00278	0,00174	0,00382	0,00105	0,00235	
odkar	v	0,00272	0,00194	0,00282	0,00191	0,00235	
postavljen	p	0,00162	0,00174	0,00313	0,00289	0,00235	
zid	s	0,00242	0,00165	0,00296	0,00234	0,00234	
